id_email,timestamp,expediteur_id,destinataire_id,sujet,corps
E00419,2025-12-15T01:30:00,S10,S09,Annulation point hebdo,"Bonjour,

Je ne pourrai pas assurer le point hebdo de cette semaine. Je suis en déplacement client. On reprend la semaine prochaine.

Thomas"
E00795,2025-12-15T02:30:00,S02,S07,Demande de signature ordre 2024-1256,"Bonjour,

L’ordre 2024-1256 attend ta double signature depuis lundi. Le client s’impatiente. Peux-tu prioriser ?

Merci,
Antoine"
E00028,2025-12-15T02:30:00,S01,S02,Entretien annuel à programmer,"Bonjour Antoine,

Nous devons programmer ton entretien annuel avant la fin du mois. Voici trois créneaux possibles : mardi 14h, mercredi 10h, jeudi 16h. Lequel te convient ?

Claire"
E00855,2025-12-15T02:30:00,S05,S01,Note de frais déplacement Genève,"Bonjour,

Je joins ma note de frais pour le déplacement client à Genève des 10-12 février. Total : 847,50 EUR. Justificatifs scannés en PJ.

Cordialement,
Élodie"
E00296,2025-12-15T03:30:00,S02,S05,Compte rendu réunion direction,"Bonjour Élodie,

Veuillez trouver ci-joint le compte rendu de la réunion de direction de vendredi. Les actions qui te concernent sont surlignées en jaune. Échéance fixée au mardi.

Cordialement,
Antoine"
E00912,2025-12-15T03:30:00,S08,S04,RE: Validation virement client 2025-150,"Validé. Bonne journée.

Marc"
E00650,2025-12-15T05:30:00,S09,S04,Note de frais déplacement Genève,"Bonjour,

Je joins ma note de frais pour le déplacement client à Genève des 10-12 février. Total : 847,50 EUR. Justificatifs scannés en PJ.

Cordialement,
Léa"
E00899,2025-12-15T05:30:00,S05,S06,Note de frais déplacement Genève,"Bonjour,

Je joins ma note de frais pour le déplacement client à Genève des 10-12 février. Total : 847,50 EUR. Justificatifs scannés en PJ.

Cordialement,
Élodie"
E00746,2025-12-15T06:30:00,S02,S06,Pot de départ - Patrimoine Aubertin,"Bonjour à tous,

Nous organisons un pot de départ pour Patrimoine Aubertin vendredi à 18h en salle de pause. Une cagnotte circule.

Antoine"
E00769,2025-12-15T09:30:00,S02,S01,FYI - article Les Échos,"Bonjour,

Un article intéressant dans Les Échos ce matin sur l’évolution de la régulation bancaire européenne. À lire si tu as 5 minutes.

Antoine"
E00259,2025-12-15T09:30:00,S05,S03,Demande de congés,"Bonjour Sophie,

Je pose mes congés du mercredi au mercredi. Mon binôme prendra le relais sur les dossiers en cours.

Merci de valider.
Élodie"
E00527,2025-12-15T10:30:00,S04,S02,Pot de départ - M. Beaumont,"Bonjour à tous,

Nous organisons un pot de départ pour M. Beaumont vendredi à 18h en salle de pause. Une cagnotte circule.

Karim"
E00119,2025-12-15T11:30:00,S10,S09,Document oublié en salle Picasso,"Bonjour,

J’ai oublié un dossier rouge en salle Picasso après la réunion d’hier. Si quelqu’un l’a vu, merci de me le rapporter.

Thomas"
E00846,2025-12-15T11:30:00,S04,S05,Maintenance serveurs mardi,"Bonjour à tous,

Une maintenance des serveurs est programmée mardi entre 22h et 2h. Indisponibilité partielle prévue. Pensez à sauvegarder vos travaux.

L’équipe IT,
Karim"
E00949,2025-12-15T12:30:00,S01,S04,Régularisation dossier 2025-1294,"Bonjour Karim,

Le dossier 2025-1294 est régularisé. La transaction peut partir cet après-midi. Bénéficiaire confirmé en double check.

Claire"
